"tournamentMode","strategyName","pointsForStrategy","nbTurnTheoric","nbTurnReal","populationSize","nbPersonForStrategy","nbPointByPersonByStrategy","nbPointRatio"
"COPIE","Mefiant","23863","601","601","601","49","487,0","0,8103161397670549"
"COPIE","CycliqueTendanceFetard","21672","601","601","601","36","602,0","1,0016638935108153"
"COPIE","SondeurIntelligent","23478","601","601","601","39","602,0","1,0016638935108153"
"COPIE","SondeurFou","43071","601","601","601","49","879,0","1,4625623960066556"
"COPIE","CycliqueTendanceCasanier","45708","601","601","601","52","879,0","1,4625623960066556"
"COPIE","Pavlovien","41313","601","601","601","47","879,0","1,4625623960066556"
"COPIE","Fetard","42202","601","601","601","48","879,2083333333334","1,4629090404880756"
"COPIE","Rancunier","18631","601","601","601","31","601,0","1,0"
"COPIE","Casanier","29449","601","601","601","49","601,0","1,0"
"COPIE","Casanier","37564","701","701","701","54","695,6296296296297","0,9923389866328526"
"COPIE","SondeurIntelligent","30186","701","701","701","43","702,0","1,0014265335235377"
"COPIE","CycliqueTendanceFetard","40626","701","701","701","61","666,0","0,9500713266761769"
"COPIE","EasyGo","33300","701","701","701","50","666,0","0,9500713266761769"
"COPIE","SondeurFou","34580","701","701","701","52","665,0","0,948644793152639"
"COPIE","Fetard","43956","701","701","701","66","666,0","0,9500713266761769"
"COPIE","HardJoss","47859","701","701","701","72","664,7083333333334","0,9482287208749406"
"COPIE","MajorMou","38493","701","701","701","55","699,8727272727273","0,9983919076643756"
"COPIE","Mefiant","18495","701","701","701","45","411,0","0,5863052781740371"
"COPIE","Rancunier","35751","701","701","701","51","701,0","1,0"
"COPIE","Lunatique","42294","701","701","701","63","671,3333333333334","0,9576795054683785"
"COPIE","Pavlovien","33915","701","701","701","51","665,0","0,948644793152639"
"COPIE","CycliqueTendanceCasanier","21964","701","701","701","38","578,0","0,8245363766048502"
"COPIE","SondeurIntelligent","64199","801","801","801","81","792,5802469135803","0,989488448081873"
"COPIE","HardJoss","60736","801","801","801","78","778,6666666666666","0,9721181856013317"
"COPIE","EasyGo","108053","801","801","801","140","771,8071428571428","0,9635544854645978"
"COPIE","SondeurFou","47820","801","801","801","60","797,0","0,9950062421972534"
"COPIE","Fetard","53700","801","801","801","68","789,7058823529412","0,9858999779687156"
"COPIE","CycliqueTendanceFetard","47082","801","801","801","59","798,0","0,9962546816479401"
"COPIE","Pavlovien","42241","801","801","801","53","797,0","0,9950062421972534"
"COPIE","Lunatique","46259","801","801","801","61","758,344262295082","0,9467468942510386"
"COPIE","MajorMou","38449","801","801","801","48","801,0208333333334","1,0000260091552227"
"COPIE","Rancunier","44055","801","801","801","55","801,0","1,0"
"COPIE","CycliqueTendanceCasanier","44055","801","801","801","55","801,0","1,0"
"COPIE","Casanier","34443","801","801","801","43","801,0","1,0"
"COPIE","Lunatique","54619","901","901","901","62","880,9516129032259","0,9777487379614049"
"COPIE","CycliqueTendanceCasanier","71653","901","901","901","79","907,0","1,0066592674805772"
"COPIE","HardJoss","76312","901","901","901","87","877,1494252873563","0,9735287739038361"
"COPIE","SondeurFou","63144","901","901","901","72","877,0","0,9733629300776915"
"COPIE","Pavlovien","47358","901","901","901","54","877,0","0,9733629300776915"
"COPIE","EasyGo","89507","901","901","901","104","860,6442307692307","0,9552100230513104"
"COPIE","MajorMou","60387","901","901","901","67","901,2985074626865","1,0003313068398296"
"COPIE","CycliqueTendanceFetard","57552","901","901","901","66","872,0","0,9678135405105438"
"COPIE","Fetard","64972","901","901","901","74","878,0","0,974472807991121"
"COPIE","SondeurIntelligent","66748","901","901","901","74","902,0","1,0011098779134295"
"COPIE","Mefiant","33796","901","901","901","71","476,0","0,5283018867924528"
"COPIE","Casanier","40545","901","901","901","45","901,0","1,0"
"COPIE","Rancunier","41446","901","901","901","46","901,0","1,0"
"COPIE","HardJoss","91663","1001","1001","1001","93","985,6236559139785","0,9846390168970814"
"COPIE","Lunatique","66565","1001","1001","1001","69","964,7101449275362","0,9637463985290072"
